channel_flux_adjusted,blanket_flux_adjusted,energy_filter_values
0.0,0.0,1e-05
0.0,0.0,1.0471e-05
0.0,0.0,1.0965e-05
0.0,0.0,1.1482e-05
0.0,0.0,1.2023e-05
0.0,0.0,1.2589e-05
0.0,0.0,1.3183e-05
0.0,0.0,1.3804e-05
0.0,0.0,1.4454e-05
0.0,0.0,1.5136e-05
0.0,0.0,1.5849e-05
0.0,0.0,1.6596e-05
0.0,0.0,1.7378e-05
0.0,0.0,1.8197e-05
0.0,0.0,1.9055e-05
0.0,0.0,1.9953e-05
0.0,0.0,2.0893e-05
0.0,0.0,2.1878e-05
0.0,0.0,2.2909e-05
0.0,0.0,2.3988e-05
0.0,0.0,2.5119e-05
0.0,0.0,2.6303e-05
0.0,0.0,2.7542e-05
0.0,0.0,2.884e-05
0.0,0.0,3.02e-05
0.0,0.0,3.1623e-05
0.0,0.0,3.3113e-05
0.0,0.0,3.4674e-05
0.0,0.0,3.6308e-05
0.0,0.0,3.8019e-05
0.0,0.0,3.9811e-05
0.0,0.0,4.1687e-05
0.0,0.0,4.3652e-05
0.0,0.0,4.5709e-05
0.0,0.0,4.7863e-05
0.0,0.0,5.0119e-05
0.0,0.0,5.2481e-05
0.0,0.0,5.4954e-05
0.0,0.0,5.7544e-05
0.0,0.0,6.0256e-05
0.0,0.0,6.3096e-05
0.0,0.0,6.6069e-05
0.0,0.0,6.9183e-05
0.0,0.0,7.2444e-05
0.0,0.0,7.5858e-05
0.0,0.0,7.9433e-05
0.0,0.0,8.3176e-05
0.0,0.0,8.7096e-05
0.0,0.0,9.1201e-05
0.0,0.0,9.5499e-05
0.0,0.0,0.0001
0.0,0.0,0.00010471
0.0,0.0,0.00010965
0.0,0.0,0.00011482
0.0,0.0,0.00012023
0.0,0.0,0.00012589
0.0,0.0,0.00013183
0.0,0.0,0.00013804
0.0,0.0,0.00014454
0.0,0.0,0.00015136
0.0,0.0,0.00015849
0.0,0.0,0.00016596
0.0,0.0,0.00017378
0.0,0.0,0.00018197
0.0,0.0,0.00019055
0.0,0.0,0.00019953
0.0,0.0,0.00020893
0.0,0.0,0.00021878
0.0,0.0,0.00022909
0.0,0.0,0.00023988
0.0,0.0,0.00025119
0.0,0.0,0.00026303
0.0,0.0,0.00027542
0.0,0.0,0.0002884
0.0,0.0,0.000302
0.0,0.0,0.00031623
0.0,0.0,0.00033113
0.0,0.0,0.00034674
0.0,0.0,0.00036308
0.0,0.0,0.00038019
0.0,0.0,0.00039811
0.0,0.0,0.00041687
0.0,0.0,0.00043652
0.0,0.0,0.00045709
0.0,0.0,0.00047863
0.0,0.0,0.00050119
0.0,0.0,0.00052481
0.0,0.0,0.00054954
0.0,0.0,0.00057544
0.0,0.0,0.00060256
0.0,0.0,0.00063096
0.0,0.0,0.00066069
0.0,0.0,0.00069183
0.0,0.0,0.00072444
0.0,0.0,0.00075858
0.0,0.0,0.00079433
0.0,0.0,0.00083176
0.0,0.0,0.00087096
0.0,0.0,0.00091201
0.0,0.0,0.00095499
0.0,0.0,0.001
0.0,0.0,0.0010471
0.0,0.0,0.0010965
0.0,0.0,0.0011482
0.0,0.0,0.0012023
0.0,0.0,0.0012589
0.0,0.0,0.0013183
0.0,0.0,0.0013804
0.0,0.0,0.0014454
0.0,0.0,0.0015136
0.0,0.0,0.0015849
0.0,0.0,0.0016596
0.0,0.0,0.0017378
0.0,0.0,0.0018197
0.0,0.0,0.0019055
0.0,0.0,0.0019953
0.0,0.0,0.0020893
0.0,0.0,0.0021878
0.0,0.0,0.0022909
0.0,0.0,0.0023988
0.0,0.0,0.0025119
0.0,0.0,0.0026303
0.0,0.0,0.0027542
0.0,0.0,0.002884
0.0,0.0,0.00302
0.0,0.0,0.0031623
0.0,0.0,0.0033113
0.0,0.0,0.0034674
0.0,0.0,0.0036308
0.0,0.0,0.0038019
0.0,0.0,0.0039811
0.0,0.0,0.0041687
0.0,0.0,0.0043652
0.0,0.0,0.0045709
0.0,0.0,0.0047863
0.0,0.0,0.0050119
0.0,0.0,0.0052481
0.0,0.0,0.0054954
0.0,0.0,0.0057544
0.0,0.0,0.0060256
0.0,0.0,0.0063096
0.0,0.0,0.0066069
0.0,0.0,0.0069183
0.0,0.0,0.0072444
0.0,0.0,0.0075858
0.0,0.0,0.0079433
0.0,0.0,0.0083176
